Comoros,0.271741,0.443068,0.55487,0.848189,1.32733,2.0,2.2,2.5,3.0,3.5,5.1,5.5,5.9753,6.5,6.98,7.45916,7.93832,8.47817,12.430985,16.3838,21.1632152,27.3369432,30.193423398686196,35.87111168273466,Africa
"Congo, Dem. Rep.",0.00590211,0.0114758,0.0927907,0.134915,0.196208,0.238038,0.296054,0.37,0.44,0.56,0.72,1.2,1.67996,2.2,3.0,3.8,10.1,8.6199,11.7,16.4812,19.8388,26.17,27.24,32.684273778389716,Africa
"Congo, Rep.",0.0263547,0.0322236,0.15725,0.460014,1.0775,1.46342,2.00799,2.7597,4.28751,4.5,5.0,5.6,6.1067,6.6,7.11,7.61597,8.12195,8.65,14.0402,19.4304,24.8206,32.7417,36.2469,44.69671573699533,Africa
Costa Rica,5.80025,9.55948,19.8949,20.3336,20.7923,22.07,25.1,28.4,32.29,34.33,36.5,39.2122,47.5,45.96,53.0,59.763,65.8804,71.5817,73.4797,81.2026,80.5302,82.749,82.598,85.127,North America
Cote d'Ivoire,0.231462,0.395748,0.497929,0.75867,0.849282,1.03924,1.5249,1.8,1.9,2.0,2.7,2.9,4.4,6.6,10.0,38.44,41.2078,43.8399,37.5465,36.289,36.0166,38.7504,38.4133,12.62382354031584,Africa
Croatia,6.64488,11.5586,17.76,22.75,30.91,33.14,37.98,41.44,44.24,50.58,56.55,57.79,61.94,66.7476,68.5679,69.845,72.6973,67.0962,75.2946,79.0798,78.3209,81.254,82.0716,83.2412,Europe
Cuba,0.541183,1.07975,3.77059,5.24127,8.40798,9.73806,11.1596,11.69,12.94,14.33,15.9,16.0173,21.2,27.93,29.0702,37.3051,42.9787,57.1484,62.6789,67.9708,71.1191,67.6435,73.2178,83.4653064921318,North America
Cyprus,15.2554,18.8188,28.32,30.09,33.83,32.81,35.83,40.77,42.31,49.81,52.99,56.8599,60.6899,65.4548,69.3287,71.7157,75.9002,80.7432,84.4336,86.0636,90.8019,90.7595,89.601,91.2212,Europe
Czechia,9.78053,14.6972,23.93,34.3,35.5,35.27,47.93,51.93,62.97,64.43,68.82,70.49,73.43,74.1104,74.2317,75.6688,76.4812,78.7192,80.6882,80.8669,81.3389,82.6706,84.5401,85.9941,Europe
Denmark,39.1724,42.9575,64.25,76.26,80.93,82.74,86.65,85.03,85.02,86.84,88.72,89.81,92.26,94.6297,95.9935,96.3305,96.9678,97.0994,97.3192,98.0464,96.5491,98.8659,97.8601,98.7756,Europe
Djibouti,0.194501,0.343526,0.486972,0.62594,0.781317,0.953611,1.27004,1.62,2.26,4.0,6.5,7.0,9.4,12.7,17.0,22.9,30.8,55.6814,58.0,59.342,62.5104,64.0414,65.0322,64.33773000720667,Africa
Dominica,8.81484,13.2452,18.4249,23.6204,30.3196,38.5436,39.3982,40.2745,41.16,42.02,47.45,48.6,49.8,51.0,57.5,65.0,67.03,69.6197,71.5008,73.3819,75.6567,82.3506,83.3767,88.96491386385047,North America
Dominican Republic,3.70469,4.42939,6.82373,7.89839,8.86555,11.4832,14.8449,17.66,20.82,27.72,31.4,38.0,42.32,45.9,49.58,54.2158,63.8709,67.5712,74.822,79.7155,81.6173,85.243,84.3832,84.023315797257,North America
Ecuador,1.46219,2.67044,4.2608,4.46023,4.83444,5.99426,7.2,10.8,18.8,24.6,29.03,31.3668,35.1351,40.2791,45.5904,48.9404,54.0629,55.8,57.5,59.2,70.7,70.2073,69.7181,72.6943,South America
"Egypt, Arab Rep.",0.641265,0.838946,2.72,4.03789,11.92,12.75,13.66,16.03,18.01,20.0,21.6,25.6,26.4,29.4,33.8946,37.8194,41.2481,44.9502,46.9243,57.2829,71.9142,72.056,72.1981,69.61566370353546,Africa
